HANDELSNAAM,AKTIEF,NR,LABEL,KATEGORIE,REDE,ONTHOUDING
CUNGFU 538 SC,"KOPERHIDROKSIED, KOPER EKWIVALENT",L7526,GEEL,SWAM,DONSIGE SKIMMEL,3
CUPERDEM,KOPER (Cu),B5359,GROEN,BLAAR,BLAARVOEDING,0
CURFEW 250 EW,TEBUKONASOOL (TRIASOOL),L9327,BLOU,SWAM,ALTENARIA,
CYFLO,"TOCOPHEROLS, OMEGAPHEROLE, OLIGOSAGGARIEDE",L10511,GROEN,BYVOEG MIDDEL,PENETREERDER,0
CYMOXAZEB WP,MANKOSEB (DITIOKARBAMAAT),L7694,BLOU,SWAM,DONSIGE SKIMMEL,
CYPERMETRIN 200 EC,SIPERMETRIEN (PIRETOID),L4069,GEEL,INSEK,BLAASSPOOTJIE,
D-ZOLE 250 EC,DIFENOKONASOOL (TRIASOOL),L7923,BLOU,SWAM,ALTENARIA,
DACTHAL ,CHLOORTAL-DIMETIEL  (BENSOESUUR),L1372,BLOU,ONKRUID,ONKRUIDDODER,
DECIS FORTE,DELTAMETRIEN (PIRETROIED),L6563,GEEL,INSEK,BLAASSPOOTJIE,2
DEMILDEX,KOPPER OKSICHLORIED,L5094,,SWAM,SAGTE VROT,
DIMETHOZEB 690 WG,DIMETHOZEB/ MANCOZEB,L7985,BLOU,SWAM,DONSIGE SKIMMEL,7
DIVINO 250 EC,DIFENOKONASOOL (TRIASOOL),L9343,BLOU,SWAM,ROES,
ECKLOMAX,SEAWEED EXTRACT,B3728,GROEN,KUNSMIS,KUNSMIS,0
ECKOSIL,"SILIKON (Si), SILIKONDIOKSIED ",,GROEN,BLAAR,BLAARVOEDING,0
EM LANTANA,MIKROBES,,GROEN,BLAAR,PLANT KONDISIONERING,0
FLAVO MUNE,"ISO BIOFLAVANOIDS VITAMINS, ORGANIC ACID",B4437,GROEN,BLAAR,BLAARVOEDING,0
FLOWABLE SULPHUR,SWAEL (S),"L0142,",BLOU,SWAM,BLAASSPOOTJIE,
FOCUS ULTRA,CYClOXYDIM (CYCLOHEXENONE COMPOUND),L4319,GROEN,ONKRUID,ONKRUIDDODER,
FOLIA CALMAG B,"KALSIUM (Ca), MAGNESIUM (Mg) , BOOR (B)",,GROEN,BLAAR,BLAARVOEDING,0
FOSFAAT PHLOEM,FOSFAAT (P),,GROEN,BLAAR,BLAARVOEDING,0
FOXAMYL 310 SL,OKSAMIL (KARBAMAAT),L9883,ROOI,NEMATODE,NEMATODE,
FUNGURAN-OH 50 WP,KOPERHIDROKSIED,,BLOU,SWAM,"BOTRYTIS, DONSIGE SKIMMEL",
GALLANT SUPER,HALOKSIFOP-R METIELESTER (PIRIDINIL-OKSIEFENOKSIEVERDINDING),L4962,,ONKRUID,ONKRUIDDODER,40
GOAL 480 SC,OKSIFLUORFEN (DIFENIEL ETER),L8303,BLOU,ONKRUID,ONKRUIDDODER,
HERBI-THAL 480 SC,CHLORTHAL-DIMETHYL (PHTHALIC ACID COMPOUND),L7676,BLOU,ONKRUID,ONKRUIDDODER,
HIDROBUFF,"BENATTINGSMIDDELS, BUFFER AGENTE",L8428,BLOU,BYVOEG MIDDEL,BUFFER,0
IN-CAP,NATURAL BOTANICAL OILS & EXTRACTS,L11555,GEEL,BYVOEG MIDDEL,BENATTER,0
INTERLOCK,"GROENTE OLIES, POLI OXYETILEEN VETSUUR ESTER",L10254,BLOU,BYVOEG MIDDEL,BENATTER,0
IOXYNIL 225 EC,IOXYNIL AS OKTANOAAT ESTER(NITRIEL) .,L9021,GEEL,ONKRUID,ONKRUIDDODER,
IPROFLO 500 SC,IPRODIOON (DIKARBOKSIMIED),L8213,GEEL,SWAM,BOTRYTIS,3
JOEMIX,MICRO+ MACRO ELEMENTE,,GROEN,BLAAR,BLAARVOEDING,0
JUDGE 50 EC,LUFENURON (BENSAMIED),L9927,BLOU,INSEK,,
KALGAN 722 SL,PROPAMOKARB HYDROKLORIED (KARBAMAAT),L10596,BLOU,SWAM,DAMPING/ VERDWYN SIEKTE,
KALIUM PHLOEM,KALIUM (K),,GROEN,BLAAR,BLAARVOEDING,0
KARATE ZEON 10 CS,LAMBDA-SIHALOTRIN (PIRETROIED),L9023,GEEL,INSEK,BLAASSPOOTJIE,3
KICKBACK 700 WP,"METALAKSIL (FENIELAMIED), MANKOSEB (DITIOKARBAMAAT)",L7105,BLOU,SWAM,DONSIGE SKIMMEL,
KIPLANT VS-04,MIKRO VOEDING STOWWE,B5357,GROEN,BLAAR,BLAAR & PLANT STIMULANT,0
KLORPIRIFOS EC,CHLOORPIRIFOS (ORGANOFOSFAAT),L4318,GEEL,INSEK,BLAASSPOOTJIE,
KOCIDE 2000,KOPERHIDROKSIED,L7805,BLOU,SWAM,"BOTRYTIS, DONSIGE SKIMMEL",
LINEAR 350 EC,"LAMBDA-SIHALOTRIN (PERITROIED), CHLOORPIRIFOS (ORGANOFOSFAAT)",L8602,GEEL,INSEK,BLAASSPOOTJIE,
LIQUIMAX DS,SEAWEED EXTRACT,,GROEN,BLAAR,WORTEL STIMULANT,0
LIQUIMAX ULTRA,SEAWEED FOLIAR SPRAY,K7120,GROEN,BLAAR,WORTEL STIMULANT,0
MAGICAL,N:Ca:Mg:B:Mo:S:Zn:Cu:Mn,K5627,GROEN,BLAAR,BLAARVOEDING,0
MAGNESIUM PHLOEM,MAGNESIUM (Mg),,GROEN,BLAAR,BLAARVOEDING,0
MAGNESIUM SULFAAT,"MAGNESIUM (Mg), SWAEL (S)",,GROEN,BLAAR,BLAARVOEDING,0
MAKHROMECTIN 18 EC,ABAMEKTIEN,L7941,ROOI,INSEK,BLAARMYNER,14
MAP (39),MONO AMMONIUM FOSFAAT,K6892,GROEN,KUNSMIS,KUNSMIS,0
MARINURE AMINO-FOLIA,MICRO ELEMENTE + AMINO SURE,B5003,GROEN,BLAAR,BLAARVOEDING,0
MARINURE CAL,KALSIUM (Ca),,GROEN,BLAAR,BLAARVOEDING,0
MARINURE SALIC,K:Mn:Ca:B,B3982,GROEN,BLAAR,BLAARVOEDING,0
MARIPHOS 400 SL,KALIUMFOSFAAT,L6954,,SWAM,DONSIGE SKIMMEL,
MARSHAL 48 EC,KARBOSULFAN (KARBAMAAT),L3314,ROOI,INSEK,BLAASSPOOTJIE,21
MERPAN 50 SC,KAPTAB,L5511,BLOU,SWAM,DAMPING/ VERDWYN SIEKTE,
MESSENGER,HARPIN ALPHA BETA  PROTEIEN,B4761,GROEN,BLAAR,BLAARVOEDING,0
METAMIDOFOS 585 SL,METAMIDOFOS (ORGANOFOSFAAT),L4286,ROOI,INSEK,LUISE,
METAZEB 700 WP,"METALAKSIL (FENIELAMIED), MANKOSEB (DITIOKARBAMAAT)",L7463,BLOU,SWAM,DONSIGE SKIMMEL,
MICROS Z,VISOLIE EMULSIE,B4494,GROEN,BLAAR,BLAARVOEDING,0
MICROTHIOL SPECIAL,SWAEL (S),L5329,BLOU,SWAM,"BOTRYTIS, SWAEL INHOUD, BLAASPOOTJIE",
MIDNIGHT,"FOSFAAT (P), KALIUM (K), MAGNESIUM (Mg) + MICRO ELEMENTE",,GROEN,KUNSMIS,KUNSMIS,0
MIRADOR 250 SC,ASOKSISTROBIEN (STROBILURIEN),L8894,BLOU,SWAM,ALTENARIA,20
MISSION 720 SC,CHLOROTHALONIL (PHTHALONITRIEL),L8432,BLOU,SWAM,BREE SPEKTRUM SWAMDODER,14
MOB,"MOLIBDEEN, BOOR",B4301,GROEN,BLAAR,BLAARVOEDING,0
MYCOBLOCK 250 SC,ASOKSISTROBIEN (STROBILURIEN),L8591,BLOU,SWAM,ALTENARIA,
MYCOGUARD 720 SC,CHLOROTHALONIL (PHTHALONITRIEL),L8417,BLOU,SWAM,ALTENARIA,0
NANOGREEN SC,KOPEROKSI CHLORIED,L8980,BLOU,SWAM,SWAMSPORE/ SANITEERDER,
NEMACUR 400 EC,FENAMIFOS  (ORGANOFOSFAAT),L0367,ROOI,NEMATODE,NEMATODE,80
NEW MARINURE CAL,"KALSIUM (Ca), BOOR (B)",,GROEN,BLAAR,BLAARVOEDING,0
NORDOX 86% WG,KOPEROKSIED (KOPER EKWIVALENT),L8077,BLOU,SWAM,SWAMSPORE/ SANITEERDER,
NOVOMAX,SEAWEED EXTRACT,B4613,GROEN,BLAAR,BLAARVOEDING,0
NU-FILM P,POLI-1-P-MENTHENE,L2980,PERS,BYVOEG MIDDEL,KLEEFMIDDEL,0
NUTRIVO,"MICRO ELMENTE, SITOKININE, AUKSIGIE GIBBERLIENE",K8794,GROEN,BLAAR,BLAARVOEDING,0
ODEON 720 SC,CHLOROTALONIL,L7596,BLOU,SWAM,ALTENARIA,
OMNIBOOST,MAKRO & MIKRO ELEMENTE,,GROEN,BLAAR,BLAARVOEDING,0
OMNIBOR,"BOOR (B), MOLIBDEEN (Mo)",,GROEN,KUNSMIS,KUNSMIS,0
OPTITRACE Zn,SINK (Zn),,GROEN,BLAAR,BLAARVOEDING,0
ORGANOGROW,MIKROBES,M405,GROEN,BLAAR,WORTEL STIMULANT,0
ORIUS 250 EW,TEBUKONASOOL (TRIASOOL),L6832,BLOU,SWAM,ALTENARIA,
OXAMYL 100 GR KORREL,OKSAMIL (KARBAMAAT),L10375,GEEL,NEMATODE,NEMATODE,
OXAMYL 310 SL,OKSAMIL (KARBAMAAT),L9246,ROOI,NEMATODE,NEMATODE,35
PANTERA EC,KWISALOFOP-P-TEFURIEL (ARIELOKSIEFENOKSIE PROPIONAAT),L6451,BLOU,ONKRUID,ONKRUIDDODER,
PARAQUAT 200 SL,"PARAQUAT (BIPYRIDYL), DICHLORIDE SALT",L4461,ROOI,ONKRUID,ONKRUIDDODER,
PENETROL,"SAPONIFIED, FATTY ACIDS, TOCOPHEROLS",L8835,BLOU,BYVOEG MIDDEL,BENATTER,0
PENNFLUID,MANKOSEB (DITIOKARBAMAAT),L7733,BLOU,SWAM,ALTENARIA,14
PHENOL PLUS,MIKRO VOEDING STOWWE,B5357,GROEN,BLAAR,BLAAR & PLANT STIMULANT,0
PLATOON 100 GR,OKSAMIL (KARBAMAAT),L7913,ROOI,NEMATODE,NEMATODE,
PLATOON 310 SL,OKSAMIL (KARBAMAAT),L7913,ROOI,NEMATODE,NEMATODE,
PREDATOR 200 EC,DICHLOROFEN,L11044,BLOU,SWAM,WITBOLVROT,3
PROFENOFOS 500 EC,PROFENOFOS (ORGANOFOSFAAT),L6553,GEEL,INSEK,BLAASSPOOTJIE,
PROPLANT,PROPAMOKARB HYDROKLORIED (KARBAMAAT),,BLOU,SWAM,DAMPING/ VERDWYN SIEKTE,
PROTECTOR 400 SC,PIRIMETANIEL (ANILIENDERIVAAT),L8606,BLOU,SWAM,BOTRYTIS,3
PYRINEX 480 EC,CHLORPIRIFOS (ORGANOFOSFAAT),L4673,GEEL,INSEK,BLAASSPOOTJIE,
RAPPID K,"FOSFAAT (P), KALIUM (K)",K9566,GROEN,BLAAR,BLAARVOEDING,0
REAL METARHIZIUM (MET 69),METARHIZIUM,L9281,GROEN,INSEK,BLAASSPOOTJIE,0
